abbrev,measDate,value,measUnit
CLAFTCCO,2021-02-22,40,cfs
CLAFTCCO,2021-02-23,35,cfs
CLAFTCCO,2021-02-24,30,cfs
CLAFTCCO,2021-02-25,35,cfs
CLAFTCCO,2021-02-26,40,cfs
CLAFTCCO,2021-02-27,40,cfs
CLAFTCCO,2021-02-28,45,cfs
CLAFTCCO,2021-03-01,45,cfs
CLAFTCCO,2021-03-02,50,cfs
CLAFTCCO,2021-03-03,55,cfs
CLAFTCCO,2021-03-04,45,cfs
CLAFTCCO,2021-03-05,50,cfs
CLAFTCCO,2021-03-06,50,cfs
CLAFTCCO,2021-03-07,55,cfs
CLAFTCCO,2021-03-08,50,cfs
CLAFTCCO,2021-03-09,56,cfs
CLAFTCCO,2021-03-10,60,cfs
CLAFTCCO,2021-03-11,47,cfs
CLAFTCCO,2021-03-12,48,cfs
CLAFTCCO,2021-03-13,52,cfs
CLAFTCCO,2021-03-14,68,cfs
CLAFTCCO,2021-03-15,70,cfs
CLAFTCCO,2021-03-16,75,cfs
CLAFTCCO,2021-03-17,75,cfs
CLAFTCCO,2021-03-18,79,cfs
CLAFTCCO,2021-03-19,69,cfs
CLAFTCCO,2021-03-20,76,cfs
CLAFTCCO,2021-03-21,92,cfs
CLAFTCCO,2021-03-22,85,cfs
CLAFTCCO,2021-03-23,95,cfs
CLAFTCCO,2021-03-24,100,cfs
CLAFTCCO,2021-03-25,92,cfs
CLAFTCCO,2021-03-26,86,cfs
CLAFTCCO,2021-03-27,80,cfs
CLAFTCCO,2021-03-28,86,cfs
CLAFTCCO,2021-03-29,110,cfs
CLAFTCCO,2021-03-30,157,cfs
CLAFTCCO,2021-03-31,161,cfs
CLAFTCCO,2021-04-01,97,cfs
CLAFTCCO,2021-04-02,51,cfs
CLAFTCCO,2021-04-03,68,cfs
CLAFTCCO,2021-04-04,97,cfs
CLAFTCCO,2021-04-05,118,cfs
CLAFTCCO,2021-04-06,158,cfs
CLAFTCCO,2021-04-07,130,cfs
CLAFTCCO,2021-04-08,133,cfs
CLAFTCCO,2021-04-09,93,cfs
CLAFTCCO,2021-04-10,67,cfs
CLAFTCCO,2021-04-11,81,cfs
CLAFTCCO,2021-04-12,68,cfs
CLAFTCCO,2021-04-13,67,cfs
CLAFTCCO,2021-04-14,65,cfs
CLAFTCCO,2021-04-15,67,cfs
CLAFTCCO,2021-04-16,79,cfs
CLAFTCCO,2021-04-17,79,cfs
CLAFTCCO,2021-04-18,76,cfs
CLAFTCCO,2021-04-19,83,cfs
CLAFTCCO,2021-04-20,82,cfs
CLAFTCCO,2021-04-21,86,cfs
CLAFTCCO,2021-04-22,162,cfs
CLAFTCCO,2021-04-23,238,cfs
CLAFTCCO,2021-04-24,233,cfs
CLAFTCCO,2021-04-25,260,cfs
CLAFTCCO,2021-04-26,338,cfs
CLAFTCCO,2021-04-27,268,cfs
CLAFTCCO,2021-04-28,414,cfs
CLAFTCCO,2021-04-29,567,cfs
CLAFTCCO,2021-04-30,761,cfs
CLAFTCCO,2021-05-01,1080,cfs
CLAFTCCO,2021-05-02,1220,cfs
CLAFTCCO,2021-05-03,1420,cfs
CLAFTCCO,2021-05-04,1450,cfs
CLAFTCCO,2021-05-05,1450,cfs
CLAFTCCO,2021-05-06,1350,cfs
CLAFTCCO,2021-05-07,1370,cfs
CLAFTCCO,2021-05-08,1490,cfs
CLAFTCCO,2021-05-09,1590,cfs
CLAFTCCO,2021-05-10,1370,cfs
CLAFTCCO,2021-05-11,1240,cfs
CLAFTCCO,2021-05-12,1130,cfs
CLAFTCCO,2021-05-13,1140,cfs
