site_name,state,annual_streamflow_mm,mean_baseflow,ws_area_sqkm,site_elevation,median_ws_elevation,mean_annual_precip,mean_winter_temp,mean_aridity_index,soil_sand_content,mean_soil_organic_matter,mean_soil_permeability,percent_urban,percent_forested,percent_wetland,percent_s_facing
"GRAPEVINE CREEK NEAR PHYLLIS, KY",KY,404.37869162039374,33.728142296738135,16.7481,23614,45107,1106.6158941987037,2.037278234849749,1.093521874424618,41.629740132001515,2.457523398039772,184.556396484375,2.412811005427481,86.95792358536193,0,0.41791606212047905
"JOHNS CREEK NEAR META, KY",KY,400.1535065956601,33.5020292282774,146.1393,21981,42439,1120.0528063814209,2.03359398613775,1.099518963624259,41.67718487674974,2.460926647257042,184.51708458182316,2.414750857572193,77.65693417171153,0,0.367940040769321
"ROCK LICK CR AT STATE HWY 158 NR SHARKEY, KY STA D",KY,457.8614000287676,21.307419620774937,10.917,19696,29264,1163.0768992606877,1.179956101894819,1.094219576958674,14.229835649645318,1.857304488019843,29.001417205005467,3.70156636438582,57.56801319043693,0,0.445094806265458
"CUTSHIN CREEK AT WOOTON, KY",KY,483.6110016262701,32.18232339607401,158.2227,26852.999999999996,47161,1257.8412583323372,2.606845068922513,1.134607996720805,34.371774466083075,1.55949157853853,94.6404037475586,1.11715954790305,80.16529865815714,0,0.360773138114821
"RED BIRD RIVER NEAR BIG CREEK, KY",KY,566.4057544963254,31.660523290795936,400.8708,25427,43550,1234.1610184080962,2.46011084315705,1.16064463885396,34.37177446610313,1.559491578540645,94.6404037475586,0.835181809201369,88.59774770325004,0,0.38210241304679704
"GOOSE CREEK AT MANCHESTER, KY",KY,537.7695493049964,30.760997076814004,422.7237,25503,36937,1256.7853995496785,2.169583439754724,1.173575454840982,27.1090919899387,1.683848112095876,92.85164715183848,2.130966397199873,82.43299346594476,0.001064525125987,0.375577238749566
"STURGEON CREEK AT CRESSMONT, KY",KY,520.2528709829875,27.06850839594349,201.3651,22341,33596,1233.0662040985535,1.687876790384455,1.13569207444635,29.94616616055484,1.708815249232307,74.00028727891622,2.499340749712835,65.29393623820613,8.93898694461e-4,0.402133736183679
"RED RIVER NEAR HAZEL GREEN, KY",KY,452.2529243324369,26.274770620444688,170.7759,26780,33781,1188.157088494001,2.019725752376804,1.06263585664623,25.61826438952068,1.852244890360676,94.5208550358744,2.569156420783026,76.99722267603333,0.018445225585109,0.380899178396951
"CLEAR FORK AT SAXTON, KY",KY,573.1701470483422,36.822660141286775,829.377,29018,48678,1369.4935300944342,2.821756995090277,1.229893656176985,37.57447946441212,1.817550261233887,150.1337773949566,1.73060019749764,79.31841611233492,0.167221902705284,0.38745021865810203
