site_name,state,annual_streamflow_mm,mean_baseflow,ws_area_sqkm,site_elevation,median_ws_elevation,mean_annual_precip,mean_winter_temp,mean_aridity_index,soil_sand_content,mean_soil_organic_matter,mean_soil_permeability,percent_urban,percent_forested,percent_wetland,percent_s_facing
"West Branch Lackawaxen River near Aldenville, PA",PA,727.6460031706491,42.068879231969035,107.9019,38386,52347,1206.6757496725563,-4.915876455252432,1.35613556666805,36.136886488843075,1.14033745968607,40.730809068494075,0.31195002126932,54.918217380787546,6.318239067152663,0.354980774203235
"West Branch Lackawaxen River at Prompton, PA",PA,661.7000641973779,41.83602960849014,151.3755,33434,48182,1188.6981633595572,-4.716074664158548,1.333951889305882,37.150448538884035,1.22355846864481,55.13826809636499,0.302030381402539,56.24364576830465,6.374743601177205,0.350503879425667
"Dyberry Creek near Honesdale, PA",PA,647.4631551553499,41.9007077312236,167.2245,29846,45459,1156.1985854846737,-4.448597306648576,1.275196962224273,38.467209297174435,1.267313365602432,51.27187958007987,0.378891848981459,66.83619924113991,5.973466806598315,0.35061489195662204
"Lackawaxen River near Honesdale, PA",PA,660.8835044208694,41.81555414857056,425.0223,29586,44994,1163.690446347718,-4.462706500193287,1.296503968485879,37.99448619921949,1.258837329372623,57.12708791166743,1.15066903548355,58.59264325660089,6.563302678471223,0.351354270117121
"Lehigh River at Stoddartsville, PA",PA,727.9978561848469,52.18276584344098,241.9092,44830,55768,1302.587270385765,-3.852938438878442,1.40581348786073,42.06272628002131,1.683849026962349,69.0403708142185,1.209875440867896,67.15589981695611,21.223789752518712,0.414902745459519
"Allegheny River at Port Allegany, PA",PA,624.1314922387705,39.317701030657254,651.5163,44941,64032,1078.8328907386442,-4.557268866033104,1.184144695869172,36.01822013490849,0.975677968073031,142.08713149632356,0.699537371513192,72.41883280587147,1.791804748400002,0.39674433318091906
"Bush Kill at Shoemakers, PA",PA,727.535755607769,47.9956688557776,305.8776,12996,39416,1232.3920611639307,-3.283445684161245,1.377145750692716,46.70967718889112,1.926432098512956,67.77662171609933,0.657229524772498,78.42335049708645,10.920121334681497,0.401018135911208
"Brodhead Creek near Analomink, PA",PA,743.7621973143675,49.69108000513677,175.2084,18155,40188,1281.5914734488229,-3.285616022549241,1.44241601177246,41.09071088176112,1.504274225148162,46.20215332744515,0.661577089773821,80.80611564102695,7.846742280327376,0.412877070929824
"Waldy Run near Emporium, PA",PA,583.2144542209708,38.54822301492932,13.6242,38595,57072,1136.4095087894125,-4.422441448964753,1.213643217460059,33.928871555510916,0.842689124602777,137.14379914463046,0.006605892456071,91.15471000132118,0.435988902100674,0.42271105826397104
"Kettle Creek at Cross Fork, PA",PA,589.9548693861452,39.694485634259784,355.0644,31405,59147,1088.726303165029,-4.401418263494815,1.197879831400797,40.84365217714193,1.015464894031777,180.6272266733183,0.037260940648645,86.0312028693459,0.349036158320976,0.41465850474633503
"Young Womans Creek near Renovo, PA",PA,557.523430175107,42.4547138678467,119.9975,23775,58471,1098.1187025361646,-4.3545101710636,1.159819292460624,51.091384184744605,0.637471510553744,302.8655323808647,0.015749566886911,94.91588981303012,0.356240203394407,0.41840599383517
"Muncy Creek near Sonestown, PA",PA,730.2130025528664,38.35002077891237,60.6384,32062,56172,1239.156968261038,-4.22221476886248,1.487513948461062,37.128029125356825,1.161963732112072,38.7388361179186,0.155841842792686,75.71538826881977,0.923177392543339,0.354042982664451
"Bald Eagle Creek at Tyrone, PA",PA,585.6699988907175,50.62160537675537,115.2963,28137,46083,1130.4426347005449,-2.760754606837582,1.132179343502296,41.82296258590647,0.772251012869295,223.37964975717853,2.817176266714543,87.58303605579711,0,0.466165002693061
"Tonoloway Creek near Needmore, PA",PA,442.6255019418021,36.36386218465707,27.8982,21191,32928,1012.5010614766924,-1.027444276179956,0.966965686271972,52.344144819516174,0.725772178281858,317.3082629363224,0.377443706045551,74.75643589909025,0,0.491483321504613
"Oswayo Creek at Shinglehouse, PA",PA,553.8892990545704,38.24119245026741,254.4417,44830,62745,1070.175769256272,-4.488743865123729,1.144996906006396,39.24880179796517,1.25336298601779,89.03154627483896,0.158818868672005,72.34783100823452,2.646155805201053,0.383496278898667
"Kinzua Creek near Guffey, PA",PA,714.0280039906411,42.10210669232222,100.0953,47318,63624,1191.8705463624583,-4.671876573331466,1.340913058160107,45.8018750176104,1.154798968539548,186.8099954222782,0.762353778410354,78.45839078414802,3.392785660276654,0.424943290486145
"Sevenmile Run near Rasselas, PA",PA,660.9380713009416,41.96556156369116,20.3058,51641.99999999999,63440,1236.790819208907,-4.700138928902067,1.352405452361587,46.06704339065277,1.171473295330507,188.2663320279821,0.465384274443755,76.327453239961,0.483113199184469,0.454259374168957
"West Branch Clarion River at Wilcox, PA",PA,728.0812953611443,42.89402989244308,161.1102,45854,60736,1191.8337748593597,-4.661774038508089,1.351779010075649,44.42548779914344,1.066971766034909,174.3243248589372,0.519605323440346,78.45816897788605,2.304701031388631,0.451307952755025
"Little Pine Creek near Etna, PA",PA,395.7038353679755,35.09690484826502,14.8878,24070,34042,1004.0068212687174,-0.828809897393269,1.058693601450657,28.42906293585585,2.057169141275705,75.39384286006674,9.756982227058398,64.9377342522065,0,0.421351710796759
